"","population","overallscore","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal13","goal15","goal16","goal17","unemployment.rate","GDPpercapita","MilitaryExpenditurePercentGDP","internet.usage","pf_law","pf_security","pf_movement","pf_religion","pf_assembly","pf_expression","pf_identity","ef_government","ef_legal","ef_money","ef_trade","ef_regulation"
"2390",70447121,72.3,98.3,60.3,77.9,91.9,65.2,75.5,70.1,77.6,48,65.8,83.9,80,82,62,65,61.7,0.0069,5854.46385243079,1.42166010284752,0.47504967,4.28636494687223,8.11001610090193,7.7575,7.67479166666667,3.0099537037037,2.95308604285935,8.125,6.81012303881591,4.98208577606559,8.58736392277204,6.70881470296134,6.95640645426599
"2391",70766953,72.7,98.3,60.4,78.3,96.2,64.5,75.7,70.4,75.8,55.3,67.2,83,79.7,81.9,61.9,64.6,60,0.0083,6436.78964911639,1.38976479830668,0.5289193,4.309155262293,7.41906690769796,7.79333333333333,7.58979166666667,2.63349537037037,2.91805477862836,9.375,7.07435545098578,4.90940510905431,8.57474667236161,6.83944795722694,6.5243798912249
"2392",71029452,73.2,98.3,60.7,78.9,96.4,64.7,75.8,71.5,77.3,58.2,67.6,86.7,79.6,81.4,58.5,64.6,59.9,0.0077,7124.55886705161,1.35692992388847,0.56817482,4.37367756272569,7.53986575889297,7.535,7.60979166666667,2.8387037037037,3.1347430837938,9.375,7.09002639536376,4.89582702550989,8.58869675920707,6.82384333270971,6.91736127180055
"2393",71226152,73.8,98.5,58.6,79.4,97,70.8,75.9,72.5,76.8,59.4,73.4,86.8,79.5,81.2,58.4,63.8,59.4,0.0072,7628.57608699366,1.35138503031835,0.6665242,4.3465279020423,7.54050753737399,7.64625,8.29354166666667,5.25016203703704,4.04377778179335,9.375,7.12917191399721,4.9180843587415,8.58460989232059,7.03191118120585,6.8815501879394
"2394",71389374,73.8,98.5,58.4,79.4,97.5,70.7,76,72.7,75,63.1,73.2,82.5,79.5,81.6,58.2,63,61.3,0.011,7001.78541255771,1.45451867637883,0.7784374,4.06266622602793,7.58933807054365,6.66708333333333,8.01854166666667,4.07099537037037,4.15615899149442,9.375,6.90687392668239,4.95872236921209,9.77980051923681,6.46845306007593,5.79921991807245
"2395",1329305,61.2,98.4,60.3,66.7,83.7,53.9,67.1,52.7,65.4,21,NA,76.9,62.9,45.4,55.2,65,48,0.121,6120.94594259561,0.155634799309892,0.077214117,4.95349873107029,8.43902492998469,9.635,9.803125,9.54708333333333,9.1802196969697,6.25,7.01179015066517,5.11810306789644,9.07133732385346,7.71944666666667,7.75644832075472
"2396",1335100,60.9,98.4,58.3,66.9,83.4,54,67.3,53,66.3,22.3,NA,76.9,62.9,41.1,55.1,64.4,49.1,0.1088,6592.75901987842,0.155634799309892,0.15384627,4.95349873107029,8.08965254075528,9.635,9.803125,9.54708333333333,9.1802196969697,6.25,6.9547078438578,5.0389439977893,8.97607462216946,8.30006091017193,7.14887654132721
"2397",1342034,61.1,98.4,57.7,67.5,81,58.3,67.4,51.5,66.7,23.7,NA,76.9,62.9,40.9,55,64.1,50.7,0.1039,6692.82220628407,0.213074265946209,0.21998676,4.95349873107029,7.8695268697319,9.635,9.803125,9.54708333333333,9.48325,6.25,6.90711581795534,4.86562891653642,9.03591755491727,8.24206944444444,7.49026933729234
"2398",1349893,61.2,98.4,56.1,66.5,87,58.4,67.5,51.8,66.6,24.2,NA,76.9,62.9,40.9,54.9,63.1,49.6,0.1048,8352.46315761855,0.294294112206887,0.25971764,4.95349873107029,7.22240764878705,9.635,9.803125,9.54708333333333,9.43274494949495,6.25,6.73166564341742,4.71773649014426,9.09893572938113,8.21790277777778,7.35415954670395
"2399",1357203,61.2,98.4,54.9,67.9,85.9,58.5,67.6,51.6,68.3,24.7,NA,76.9,62.9,40.9,54.9,62.5,49.5,0.0833,9756.51327851947,0.56332687432576,0.27024271,4.95349873107029,6.88628633445933,9.635,9.803125,9.54708333333333,9.48325,6.25,6.80494902342128,4.64044874419353,9.04592431731792,8.08519978632479,7.80521049922807
"2400",1365142,61.1,98.4,54.8,70.8,82.4,58.5,68.3,50.1,68.6,25.4,NA,76.6,62.9,40.9,54.8,60.4,50.2,0.0795,11673.8587533304,0.604538000333575,0.28976713,4.95349873107029,4.67910981951672,9.635,9.803125,9.54708333333333,9.37274434156379,6.25,6.92225789162232,5.05031796857546,8.85460347237532,7.95859414537862,7.43158453915134
"2401",1373009,61.1,98.4,54.8,70.2,82.4,58.6,68.5,50,69.9,25.1,NA,76.6,62.9,40.9,54.7,60.7,49.5,0.0627,13340.916273498,0.621275873847403,0.30003748,4.9804293542939,5.67655878618803,9.635,9.803125,9.13041666666667,9.475625,6.25,6.96486955448297,5.08665658412867,8.63323722699671,8.01009598161984,7.79141084926648
"2402",1380830,61.8,98.4,55.5,70.4,88.3,62.4,68.6,50,70.5,25.9,NA,76.6,62.9,40.9,54.6,60.3,49.6,0.0554,15627.2868179082,0.568668581528334,0.323,4.9804293542939,5.47385686579921,9.635,9.803125,9.54708333333333,9.475625,6.25,7.11370696272402,5.0505542531415,8.85992815668145,7.94943496454066,7.77301635926575
"2403",1388891,61.8,98.4,55.6,71.2,87.8,62.5,68.7,50,71.2,26,NA,79.8,62.9,40.9,54.6,57.2,49.3,0.0463,20011.1482740497,0.493375226495272,0.348,4.9804293542939,4.66232142857143,9.63833333333333,9.815625,9.56583333333333,8.63741666666667,6.25,6.82970768552653,5.19548372293754,8.69987408776344,7.98670409123047,7.48091268381414
"2404",1396714,62.3,98.4,54.7,72.7,89.2,62.4,68.9,49.7,70.7,28.2,NA,79.8,62.9,40.9,54.5,57.7,51.2,0.0528,13682.76361003,0.709658644481144,0.443,4.9804293542939,4.66232142857143,9.63833333333333,9.815625,9.56583333333333,9.47075,6.25,6.18211191697387,5.25398314753906,8.21482782680163,7.99862933857683,7.43420672946002
"2405",1405668,62.4,98.4,54.5,74.6,85.5,63.5,69,50.1,71.7,28.6,NA,80.1,62.9,40.9,54.5,58.3,50.8,0.0403,15711.5381692036,0.635217366605715,0.485,4.95349873107029,4.67535714285714,9.63833333333333,9.815625,9.501875,9.4735,6.25,6.30952816957846,5.10842125625307,8.27757630056446,7.95055947190086,7.63711484500539
"2406",1414924,63.6,98.4,54.4,75.9,85.5,64.4,69.2,51.1,72.2,29.9,NA,87.2,62.9,40.9,54.4,64.2,53.2,0.0343,17910.317182181,0.566437190906244,0.552,4.95349873107029,5.6637582449292,7.97166666666667,9.815625,9.08520833333333,9.4735,7.5,6.4617340519314,5.31261409215043,8.41058804343913,7.96604430543838,7.07473351143171
"2407",1425116,63.6,98.4,53.7,75.4,85.5,64.4,69.4,52.3,72,30.6,NA,88,62.9,40.9,54.3,62.8,53.8,0.0372,18961.2335898402,0.662025828351234,0.575,4.95349873107029,5.55840334336468,9.63833333333333,9.815625,9.501875,8.58775576519916,7.5,6.56951775124219,5.34306403776777,8.08279021768944,8.00267835404571,7.23765190937102
"2408",1435637,63.5,98.4,53.5,76.8,85.5,67.1,69.8,53.4,72.8,32.4,NA,80.8,62.9,40.9,54.2,60,55.5,0.0268,19821.528649641,0.786092912210172,0.599,5.01529451775122,5.08472101608139,9.63833333333333,9.815625,9.30666666666667,8.65258333333333,6.25,6.59423084628947,5.283527424624,8.37071122388861,8.07377400775788,7.38041701485308
"2409",1445822,63.7,98.4,54.6,77,85.5,67.3,70,52.7,72.9,34.8,NA,81.7,62.9,40.9,54.1,59.4,56.1,0.0248,20327.9834550529,0.695344952799854,0.624,5.01529451775122,5.27286129568106,9.63833333333333,9.773125,9.30666666666667,9.43249786324786,6.25,6.08875120211572,5.23124571526745,8.77561136458938,8.16284770165502,7.40578168299163
"2410",1455500,63.6,98.4,54.1,78.4,85.5,68,70.2,53.7,73,34.9,NA,81.7,62.9,40.9,54.1,58.3,52.8,0.0243,18389.5310289802,0.833206239926993,0.651,4.73136888492502,5.27286129568106,9.63833333333333,9.838125,9.366875,9.45824786324786,6.25,6.37240443179997,5.15615762126198,8.44270146554473,8.13656955979105,6.47418636028893
"2411",1464853,64,98.3,54.5,78.6,85.5,68.6,70.4,55.8,72.4,37.7,NA,82,62.5,40.9,54,57,54.8,0.0321,15991.1087914364,0.953650060137164,0.678,4.73136888492502,5.27286129568106,9.63833333333333,9.838125,9.366875,9.49941666666667,6.25,6.73715548748757,5.23661661126843,8.96343321531531,8.17108028936336,6.85193719753502
"2412",1473806,63.8,98.2,54.5,79.6,85.5,68.3,70.6,55.6,73.2,38.1,NA,78.3,62.2,40.9,53.9,55,56.2,0.03309,16094.6667788294,0.88503952327773,0.706,4.49065362806794,4.67535714285714,9.63833333333333,9.838125,9.37125,9.50304166666667,7.5,6.67015061109589,5.24308890857068,9.03793534543018,8.13643409613419,6.79552260757097
"2413",1483408,64.1,98.2,54.6,80.2,85.5,68.1,70.6,56,74.6,37.8,NA,78.5,62,40.9,53.8,56.5,58.3,0.03405,16164.1613344567,0.687787710419977,0.706,4.49181724227093,4.67535714285714,9.63833333333333,9.838125,9.37125,9.50379166666667,10,7.10170328998287,5.22761217137505,9.23444365736993,7.93554304843631,6.7841946717755
"2414",1526010,64.1,98.2,54.2,81.7,85.5,68.8,70.6,56.2,73.7,38.6,NA,78.7,61.9,40.9,53.7,55.7,56.1,0.0352,15690.9630952205,0.707947748096899,0.706,4.47360418641308,4.67535714285714,9.63833333333333,9.838125,9.27865740740741,9.38081111111111,10,6.90865100071077,5.23369563462872,9.25538068255364,7.93536023375875,6.77184899276315
"2415",1513900,64.4,98,54.1,81.5,85.5,66.6,70.6,56.2,74.6,39.6,NA,78.7,61.9,40.9,53.6,57.7,59.2,0.0421,13871.7982158614,0.740450553743454,0.706,4.35517609795812,4.63517857142857,7.87833333333333,9.8125,9.25907407407408,9.37651111111111,10,6.90811157012377,5.31291495107357,9.52269383754573,6.57919921264928,6.74740454831871
"2416",9841511,64.9,93.2,60.3,70.9,81.2,32.7,63.2,64.7,63,25.3,48.4,74.9,84.7,92.8,58.6,68.2,65.5,0.1494,2170.50814294017,1.5479040325129,0.027507403,3.88185690182452,8.51698166248591,4.925,3.14666666666667,3.48733796296296,2.83442941176471,4.375,7.49508232764367,5.14901799547479,6.97107796603345,6.14439337650604,6.32196360802554
"2417",9945120,65.2,93.2,61.4,71.1,82.5,33.3,62.2,65.8,63.3,25.7,48.4,75,84.8,92.7,58.8,68.2,65.6,0.144,2207.66068786409,1.52111247336458,0.04297966,3.88185690182452,8.54614332820418,4.925,3.14666666666667,3.48733796296296,2.83442941176471,4.375,7.43203010034907,5.14069797561572,7.00236226266227,5.9899293870363,6.65343595297865
"2418",10045127,65.4,93.2,59.3,71.8,84.1,33.9,62.5,66.5,63.2,26.1,48.4,75.1,86.3,92.7,58.8,68.2,65.6,0.1455,2292.48316780123,1.49264292624339,0.052528872,3.88185690182452,8.58894275648367,4.925,3.14666666666667,3.5144212962963,2.64248169934641,4.375,7.05523289511201,5.11218611969884,6.98201186656467,5.3985600431727,6.55699335120537
"2419",10143995,65.7,93.2,63.1,71.6,83.9,34.4,62.8,67,63.3,26.9,48.4,75.2,86.6,92.7,58.8,68.2,67,0.1451,2693.19591764946,1.48388570363995,0.064908457,3.88185690182452,8.58894275648367,4.925,3.14666666666667,3.5144212962963,2.53997450980392,4.375,6.91602716141495,5.11691480399704,7.11341302643201,5.37522670983937,6.61312474247925
